liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,iteration,liquid_level,density,time,m,%error,time_asp_1000,acq_value
Viscosity_std_505,rLine1000,1000,102.1,102.1,10,10,1,50.822783033164924,0.8683,77.48149466514587,0.7281637461514474,-16.13915165824629,39.58863858961802,
Viscosity_std_505,rLine1000,500,102.1,102.1,10,10,1,49.83366368412452,0.8683,67.88628768920898,0.4294261653858945,-1.0880650959588785,39.58863858961802,
Viscosity_std_505,rLine1000,300,102.1,102.1,10,10,1,49.27515073623061,0.8683,64.96020889282227,0.24247839632814194,-6.914508684347981,39.58863858961802,
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",102.1,102.1,10,10,1,49.27515073623061,0.8683,NaN,NaN,-8.04724181285105,39.58863858961802,
Viscosity_std_505,rLine1000,1000,127.625,127.625,10,10,2,47.77692238493055,0.8683,73.81510758399963,0.6504558387169194,-25.088582434997193,35.67091087169442,
Viscosity_std_505,rLine1000,500,127.625,127.625,10,10,2,46.81904968900529,0.8683,65.97311353683472,0.4158604309359517,-4.212730407473978,35.67091087169442,
Viscosity_std_505,rLine1000,300,127.625,127.625,10,10,2,46.23915745213785,0.8683,62.98302125930786,0.2517602146359976,-3.3512938554272234,35.67091087169442,
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",127.625,127.625,10,10,2,46.23915745213785,0.8683,NaN,NaN,-10.884202232632797,35.67091087169442,
Viscosity_std_505,rLine1000,1000,127.625,10.21,10,10,3,44.27279986598266,0.8683,164.2025911808014,0.8536941460292757,-1.6821206922404959,125.77864838393731,
Viscosity_std_505,rLine1000,500,127.625,10.21,10,10,3,43.302441933796565,0.8683,111.19210696220398,0.42128089625859255,-2.9642067813906317,125.77864838393731,
Viscosity_std_505,rLine1000,300,127.625,10.21,10,10,3,42.74315704925212,0.8683,90.16505479812622,0.2428135326249719,-6.785852575925406,125.77864838393731,
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",127.625,10.21,10,10,3,42.74315704925212,0.8683,NaN,NaN,-3.810726683185511,125.77864838393731,
Viscosity_std_505,rLine1000,1000,10.21,127.625,10,10,4,41.30154857314568,0.8683,164.28450727462769,0.6258743199016094,-27.919576194678175,125.77864838393731,
Viscosity_std_505,rLine1000,500,10.21,127.625,10,10,4,40.347468435546965,0.8683,111.62107229232788,0.4142138917384827,-4.591986240128357,125.77864838393731,
Viscosity_std_505,rLine1000,300,10.21,127.625,10,10,4,39.7696235089266,0.8683,90.38252329826355,0.2508713748922312,-3.6925122299392625,125.77864838393731,
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",10.21,127.625,10,10,4,39.7696235089266,0.8683,NaN,NaN,-12.0680248882486,125.77864838393731,
Viscosity_std_505,rLine1000,1000,10.21,10.21,10,10,5,37.793667058334314,0.8683,255.1581835746765,0.8578614930246395,-1.2021774703858594,215.8863858961802,
Viscosity_std_505,rLine1000,500,10.21,10.21,10,10,5,36.80320521077123,0.8683,156.65956807136536,0.4300090111195119,-0.9538152436918308,215.8863858961802,
Viscosity_std_505,rLine1000,300,10.21,10.21,10,10,5,36.204383744734145,0.8683,117.65485143661499,0.25997833948000176,-0.19642232715199665,215.8863858961802,
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",10.21,10.21,10,10,5,36.204383744734145,0.8683,NaN,NaN,-0.7841383470765623,215.8863858961802,
Viscosity_std_505,rLine1000,1000,74.71243632596452,20.1909514423972,10,10,6,34.31931444412664,0.8683,121.86994695663452,0.8184028368587476,-5.746534969624826,82.91178862766614,45.031448762460855
Viscosity_std_505,rLine1000,500,74.71243632596452,20.1909514423972,10,10,6,33.33761239942398,0.8683,90.40458011627197,0.426205942707659,-1.829795529734191,82.91178862766614,45.031448762460855
Viscosity_std_505,rLine1000,300,74.71243632596452,20.1909514423972,10,10,6,32.76778890147657,0.8683,78.04550218582153,0.24738887163386777,-5.0294170087651064,82.91178862766614,45.031448762460855
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",74.71243632596452,20.1909514423972,10,10,6,32.76778890147657,0.8683,NaN,NaN,-4.201915836041374,82.91178862766614,45.031448762460855
Viscosity_std_505,rLine1000,1000,117.24335904153062,47.9780646077916,10,10,7,31.034891808413747,0.8683,88.4249062538147,0.7523372729532255,-13.355145346858743,49.37212599561865,20.47594033359595
Viscosity_std_505,rLine1000,500,117.24335904153062,47.9780646077916,10,10,7,30.06601062460259,0.8683,73.99499416351318,0.42063976595161356,-3.1118816188843526,49.37212599561865,20.47594033359595
Viscosity_std_505,rLine1000,300,117.24335904153062,47.9780646077916,10,10,7,29.496153564192113,0.8683,68.06212830543518,0.24740344277720822,-5.023823264920643,49.37212599561865,20.47594033359595
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",117.24335904153062,47.9780646077916,10,10,7,29.496153564192113,0.8683,NaN,NaN,-7.16361674355458,49.37212599561865,20.47594033359595
Viscosity_std_505,rLine1000,1000,38.001821720441804,45.216726108663714,10,10,8,27.742313494175633,0.8683,107.74291229248047,0.7614296663976554,-12.307996499175925,68.43023791579348,11.021390825902163
Viscosity_std_505,rLine1000,500,38.001821720441804,45.216726108663714,10,10,8,26.783064737264635,0.8683,83.7215530872345,0.4164578478129094,-4.075124308900284,68.43023791579348,11.021390825902163
Viscosity_std_505,rLine1000,300,38.001821720441804,45.216726108663714,10,10,8,26.200823127982524,0.8683,73.95005631446838,0.25278019466982793,-2.9597317863150487,68.43023791579348,11.021390825902163
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",38.001821720441804,45.216726108663714,10,10,8,26.200823127982524,0.8683,NaN,NaN,-6.447617531463752,68.43023791579348,11.021390825902163
Viscosity_std_505,rLine1000,1000,33.98309672386385,16.645195272625426,10,10,9,24.28168792736226,0.8683,149.0424988269806,0.8331925473492872,-4.043239968986848,109.50379091768318,7.4878290810084875
Viscosity_std_505,rLine1000,500,33.98309672386385,16.645195272625426,10,10,9,23.320156922962724,0.8683,104.4172797203064,0.41744868556005876,-3.8468995600463476,109.50379091768318,7.4878290810084875
Viscosity_std_505,rLine1000,300,33.98309672386385,16.645195272625426,10,10,9,22.740600310725956,0.8683,86.62079119682312,0.2516145032025933,-3.4072312938718103,109.50379091768318,7.4878290810084875
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",33.98309672386385,16.645195272625426,10,10,9,22.740600310725956,0.8683,NaN,NaN,-3.7657902743016685,109.50379091768318,7.4878290810084875
Viscosity_std_505,rLine1000,1000,74.0413783838274,11.270051140217111,10,10,10,20.78994995728601,0.8683,162.03250646591187,0.8468748509459533,-2.467482328002613,122.23670341648564,0.8228418672316384
Viscosity_std_505,rLine1000,500,74.0413783838274,11.270051140217111,10,10,10,19.808516412287887,0.8683,110.8908543586731,0.4260893735609354,-1.8566455001876259,122.23670341648564,0.8228418672316384
Viscosity_std_505,rLine1000,300,74.0413783838274,11.270051140217111,10,10,10,19.21184294388707,0.8683,90.67248558998108,0.259045786306214,-0.5544219331974358,122.23670341648564,0.8228418672316384
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",74.0413783838274,11.270051140217111,10,10,10,19.21184294388707,0.8683,NaN,NaN,-1.6261832537958913,122.23670341648564,0.8228418672316384
