liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,iteration,liquid_level,density,time,m,%error,time_asp_1000,acq_value
Viscosity_std_505,rLine1000,1000,64.80572354061994,64.80572354061994,10,10,1,41.279386768419606,0.8683,89.37975072860718,0.747004234490627,-13.969338420980415,50.86147165298462,
Viscosity_std_505,rLine1000,500,64.80572354061994,64.80572354061994,10,10,1,40.34963941654429,0.8683,73.92786145210266,0.40364981281666895,-7.0252648124682775,50.86147165298462,
Viscosity_std_505,rLine1000,300,64.80572354061994,64.80572354061994,10,10,1,39.79136140589185,0.8683,67.91116857528687,0.2423763983247589,-6.9536648912592005,50.86147165298462,
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",64.80572354061994,64.80572354061994,10,10,1,39.79136140589185,0.8683,NaN,NaN,-9.316089374902631,50.86147165298462,
Viscosity_std_505,rLine1000,1000,81.00715442577493,81.00715442577493,10,10,2,38.207179586677825,0.8683,83.4278495311737,0.6877725368117679,-20.79090903929887,44.68917732238769,
Viscosity_std_505,rLine1000,500,81.00715442577493,81.00715442577493,10,10,2,37.28985034613721,0.8683,74.81876873970032,0.3982584897807088,-8.267075945938307,44.68917732238769,
Viscosity_std_505,rLine1000,300,81.00715442577493,81.00715442577493,10,10,2,36.73895607735945,0.8683,66.06827092170715,0.23917074678986366,-8.184288537040322,44.68917732238769,
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",81.00715442577493,81.00715442577493,10,10,2,36.73895607735945,0.8683,NaN,NaN,-12.4140911740925,44.68917732238769,
Viscosity_std_505,rLine1000,1000,81.00715442577493,6.480572354061994,10,10,3,34.765483249034105,0.8683,225.5443880558014,0.8567832284174476,-1.3263585837328546,186.65194692611692,
Viscosity_std_505,rLine1000,500,81.00715442577493,6.480572354061994,10,10,3,33.77794133575783,0.8683,142.22433137893677,0.4287413216488942,-1.245808672372626,186.65194692611692,
Viscosity_std_505,rLine1000,300,81.00715442577493,6.480572354061994,10,10,3,33.19741141209212,0.8683,108.95541763305664,0.2520370663594658,-3.245012722382501,186.65194692611692,
Viscosity_std_505,rLine1000,"mean[1000, 500, 300]",81.00715442577493,6.480572354061994,10,10,3,33.19741141209212,0.8683,NaN,NaN,-1.9390599928293273,186.65194692611692,
Viscosity_std_505,rLine1000,1000,6.480572354061994,81.00715442577493,10,10,4,31.620177022732918,0.8683,225.76073002815247,0.6847563101402981,-21.138280532039825,186.65194692611692,
Viscosity_std_505,rLine1000,500,6.480572354061994,81.00715442577493,10,10,4,30.692946855587607,0.8683,142.45460653305054,0.40255697706613647,-7.276983285468966,186.65194692611692,
Viscosity_std_505,rLine1000,300,6.480572354061994,81.00715442577493,10,10,4,30.15322888701108,0.8683,109.20260381698608,0.23431855605749957,-10.047005237245356,186.65194692611692,
