Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_sigmoid,Flow_rate
2023-10-13 10:01:44.429409,388416,6.862879436681862,388546.1292110874,0.0,0.0,0.004803673628712701,10.196951150894165,5.482739986703223,
2023-10-13 10:01:44.629256,388420,6.862879436681862,388546.1292110874,0.5828457336173116,0.13130041251818803,0.13130041251818803,10.396798133850098,5.482405256347761,-0.0016749332439797346
2023-10-13 10:01:44.829139,388456,6.862879436681862,388546.1292110874,5.8284573361731145,0.1793371488053257,0.04803673628713767,10.596681118011475,5.481996972983779,-0.0020426119096347084
2023-10-13 10:01:45.028826,388437,6.862879436681862,388546.1292110874,3.059940101490886,0.049637960830047234,-0.12969918797527846,10.79636812210083,5.481499593804642,-0.0024907939372689645
2023-10-13 10:01:45.229106,388449,6.862879436681862,388546.1292110874,4.808477302342819,-0.056042859001665946,-0.10568081983171318,10.996648073196411,5.480891153319817,-0.003037950036920335
2023-10-13 10:01:45.428069,388450,6.862879436681862,388546.1292110874,4.954188735747147,-0.1825395978911306,-0.12649673888946467,11.195611238479614,5.480154223614363,-0.0037038499282259704
2023-10-13 10:01:45.628173,388456,6.862879436681862,388546.1292110874,5.8284573361731145,-0.5219992009869294,-0.3394596030957988,11.395715236663818,5.479250655356054,-0.0045154932760372865
2023-10-13 10:01:45.842507,388429,6.862879436681862,388546.1292110874,1.894248634256261,-0.9751457466289608,-0.4531465456420314,11.6100492477417,5.478061445132425,-0.005548397184601373
2023-10-13 10:01:46.043089,388466,6.862879436681862,388546.1292110874,7.285571670216392,-1.4202861695564692,-0.44514042292750844,11.810631036758423,5.476694293269588,-0.0068159321418910235
2023-10-13 10:01:46.243112,388422,6.862879436681862,388546.1292110874,0.8742686004259674,-1.9438865950863082,-0.523600425529839,12.010653972625732,5.475030980242877,-0.008315611504744478
2023-10-13 10:01:46.443032,388432,6.862879436681862,388546.1292110874,2.3313829344692465,-2.773320908310936,-0.8294343132246276,12.21057415008545,5.4730033943437775,-0.010141977287452416
2023-10-13 10:01:46.644057,388413,6.862879436681862,388546.1292110874,-0.43713430021298194,-3.786896043969616,-1.0135751356586802,12.411599159240723,5.470515542593489,-0.01237583204568736
2023-10-13 10:01:46.843937,388396,6.862879436681862,388546.1292110874,-2.9142286680865546,-4.78445893419924,-0.9975628902296236,12.611479043960571,5.467497197741636,-0.015100793439436513
2023-10-13 10:01:47.045125,388404,6.862879436681862,388546.1292110874,-1.7485372008519349,-5.977371218663254,-1.1929122844640148,12.81266713142395,5.4637897241011615,-0.018427898426886708
2023-10-13 10:01:47.244638,388412,6.862879436681862,388546.1292110874,-0.5828457336173116,-7.3960561636768105,-1.4186849450135561,13.012180089950562,5.4593041287683945,-0.02248272676568344
2023-10-13 10:01:47.445394,388393,6.862879436681862,388546.1292110874,-3.35136296829954,-8.877188865863669,-1.4811327021868586,13.212936162948608,5.453798390562838,-0.02742501446324923
2023-10-13 10:01:47.645464,388400,6.862879436681862,388546.1292110874,-2.331382934469243,-10.50403300145484,-1.6268441355911705,13.41300630569458,5.447103711911154,-0.03346165779560584
2023-10-13 10:01:47.843427,388379,6.862879436681862,388546.1292110874,-5.391323035960131,-12.287797142250671,-1.7837641407958316,13.610969305038452,5.439032931609404,-0.040769135285382195
2023-10-13 10:01:48.045960,388475,6.862879436681862,388546.1292110874,8.596974570855343,-14.225278839165366,-1.9374816969146949,13.813502073287964,5.428959352014431,-0.04973802354077789
2023-10-13 10:01:48.245568,388445,6.862879436681862,388546.1292110874,4.2256315687255075,-16.454183402888734,-2.2289045637233684,14.013110160827637,5.416838920541977,-0.06072114422740859
2023-10-13 10:01:48.444090,388452,6.862879436681862,388546.1292110874,5.245611602555803,-18.796774909158298,-2.3425915062695637,14.211632251739502,5.4021516515265375,-0.07398304615862662
2023-10-13 10:01:48.645637,388378,6.862879436681862,388546.1292110874,-5.537034469364457,-21.448402752208462,-2.6516278430501643,14.413179159164429,5.383965622029677,-0.0902322428521218
2023-10-13 10:01:48.845846,388437,6.862879436681862,388546.1292110874,3.059940101490886,-24.312993459464987,-2.864590707256525,14.613388061523438,5.361916310747802,-0.11013152273487635
2023-10-13 10:01:49.046365,388427,6.862879436681862,388546.1292110874,1.6028257674476052,-27.40976172544268,-3.096768265977694,14.813907146453857,5.334976600122559,-0.13434985819225523
2023-10-13 10:01:49.244862,388462,6.862879436681862,388546.1292110874,6.70272593659908,-30.724296529255394,-3.3145348038127125,15.012403964996338,5.302474363564897,-0.1637418513622457
2023-10-13 10:01:49.449081,388405,6.862879436681862,388546.1292110874,-1.6028257674476052,-34.19735256281571,-3.4730560335603116,15.216623306274414,5.261641545988937,-0.19994588818284603
2023-10-13 10:01:49.645845,388440,6.862879436681862,388546.1292110874,3.497074401703868,-37.80491145798,-3.6075588951642885,15.413387060165405,5.213655317460393,-0.24387737873271256
2023-10-13 10:01:49.844711,388459,6.862879436681862,388546.1292110874,6.265591636386098,-41.64945158549419,-3.8445401275142004,15.612252950668335,5.154652253411314,-0.29669775897647105
2023-10-13 10:01:50.045881,388455,6.862879436681862,388546.1292110874,5.6827459027687866,-45.548433347467125,-3.8989817619729266,15.813423156738281,5.081885782376389,-0.36171594420708514
2023-10-13 10:01:50.245303,388452,6.862879436681862,388546.1292110874,5.245611602555803,-49.72762940444841,-4.17919605698129,16.012845277786255,4.993935470566498,-0.44102585684931805
2023-10-13 10:01:50.443304,388452,6.862879436681862,388546.1292110874,5.245611602555803,-54.06054301754851,-4.332913613100104,16.210845947265625,4.8876459339794565,-0.5368140262683111
