liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error,time_for_1000
Viscosity_std_817,rLine1000,1000,54.16311863,54.16311863,0.8466,0.662127325,-21.78982701,56.92549562
Viscosity_std_817,rLine1000,500,54.16311863,54.16311863,0.8466,0.377640322,-10.78660006,56.92549562
Viscosity_std_817,rLine1000,300,54.16311863,54.16311863,0.8466,0.222151651,-12.53183268,56.92549562
Viscosity_std_817,rLine1000,300,67.70389875,67.70389875,0.8466,0.208950196,-17.72966552,49.5403963
Viscosity_std_817,rLine1000,500,67.70389875,67.70389875,0.8466,0.357940136,-15.44055371,49.5403963
Viscosity_std_817,rLine1000,1000,67.70389875,67.70389875,0.8466,0.625306045,-26.13913946,49.5403963
Viscosity_std_817,rLine1000,300,67.70389875,5.4163119,0.8466,0.224381036,-11.65405296,219.397675
Viscosity_std_817,rLine1000,500,67.70389875,5.4163119,0.8466,0.385159032,-9.010386979,219.397675
Viscosity_std_817,rLine1000,1000,67.70389875,5.4163119,0.8466,0.783985796,-7.39596075,219.397675
Viscosity_std_817,rLine1000,300,5.4163119,67.70389875,0.8466,0.226654135,-10.75906187,219.397675
Viscosity_std_817,rLine1000,500,5.4163119,67.70389875,0.8466,0.330400675,-21.94645045,219.397675
Viscosity_std_817,rLine1000,1000,5.4163119,67.70389875,0.8466,0.616942209,-27.12707193,219.397675
Viscosity_std_817,rLine1000,1000,5.4163119,5.4163119,0.8466,0.82787408,-2.211896996,389.2549537
Viscosity_std_817,rLine1000,500,5.4163119,5.4163119,0.8466,0.41406818,-2.180916536,389.2549537
Viscosity_std_817,rLine1000,300,5.4163119,5.4163119,0.8466,0.241443845,-4.935882687,389.2549537
Viscosity_std_817,rLine1000,500,54.163119,40,0.8466,0.393974574,-6.927811567,63.46274769
Viscosity_std_817,rLine1000,1000,54.163119,40,0.8466,0.684639741,-19.1306708,63.46274769
Viscosity_std_817,rLine1000,300,54.163119,40,0.8466,0.221277383,-12.87606002,63.46274769
Viscosity_std_817,rLine1000,300,50,40,0.8466,0.230267778,-9.336255528,65
Viscosity_std_817,rLine1000,500,50,40,0.8466,0.386310152,-8.73844738,65
Viscosity_std_817,rLine1000,1000,50,40,0.8466,0.666760948,-21.24250554,65
Viscosity_std_817,rLine1000,500,30,40,0.8466,0.401056149,-5.25486669,78.33333333
Viscosity_std_817,rLine1000,1000,30,40,0.8466,0.673900808,-20.39914855,78.33333333
Viscosity_std_817,rLine1000,300,30,40,0.8466,0.238864753,-5.951353343,78.33333333
Viscosity_std_817,rLine1000,300,30,20,0.8466,0.22735355,-10.48368,103.3333333
Viscosity_std_817,rLine1000,1000,30,20,0.8466,0.737620418,-12.87261774,103.3333333
Viscosity_std_817,rLine1000,500,30,20,0.8466,0.396407955,-6.352951907,103.3333333
Viscosity_std_817,rLine1000,300,30,15,0.8466,0.241808124,-4.792454629,120
Viscosity_std_817,rLine1000,500,30,15,0.8466,0.390462928,-7.757399458,120
Viscosity_std_817,rLine1000,1000,30,15,0.8466,0.765349304,-9.597294595,120
Viscosity_std_817,rLine1000,300,20,15,0.8466,0.239156176,-5.836610896,136.6666667
Viscosity_std_817,rLine1000,500,20,15,0.8466,0.405646059,-4.170550566,136.6666667
Viscosity_std_817,rLine1000,1000,20,15,0.8466,0.772678589,-8.731562833,136.6666667
Viscosity_std_817,rLine1000,500,20,10,0.8466,0.407540308,-3.723055023,170
Viscosity_std_817,rLine1000,300,20,10,0.8466,0.229918071,-9.473946465,170
Viscosity_std_817,rLine1000,1000,20,10,0.8466,0.79613813,-5.960532739,170
Viscosity_std_817,rLine1000,300,20,5,0.8466,0.242492967,-4.522809878,270
Viscosity_std_817,rLine1000,500,20,5,0.8466,0.403372961,-4.707545218,270
Viscosity_std_817,rLine1000,1000,20,5,0.8466,0.819306248,-3.223925378,270
Viscosity_std_817,rLine1000,500,15,5,0.8466,0.407103174,-3.826323225,286.6666667
Viscosity_std_817,rLine1000,1000,15,5,0.8466,0.823021889,-2.785035519,286.6666667
Viscosity_std_817,rLine1000,300,15,5,0.8466,0.240569577,-5.280110028,286.6666667
Viscosity_std_817,rLine1000,300,10,5,0.8466,0.243600374,-4.08678858,320
Viscosity_std_817,rLine1000,1000,10,5,0.8466,0.823240456,-2.759218468,320
Viscosity_std_817,rLine1000,500,10,5,0.8466,0.407088603,-3.829765498,320
