liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error
Viscosity_std_505,p1000,1000,65.34098574,65.34098574,0.8683,0.7525,-13.33640447
Viscosity_std_505,p1000,500,65.34098574,65.34098574,0.8683,0.3997,-7.935045491
Viscosity_std_505,p1000,300,65.34098574,65.34098574,0.8683,0.2253,-13.50915582
Viscosity_std_505,p1000,1000,81.67623218,81.67623218,0.8683,0.7165,-17.48243695
Viscosity_std_505,p1000,500,81.67623218,81.67623218,0.8683,0.3823,-11.94287689
Viscosity_std_505,p1000,300,81.67623218,81.67623218,0.8683,0.2301,-11.66647472
Viscosity_std_505,p1000,1000,81.67623218,6.534098574,0.8683,0.8432,-2.890705977
Viscosity_std_505,p1000,500,81.67623218,6.534098574,0.8683,0.4245,-2.222734078
Viscosity_std_505,p1000,300,81.67623218,6.534098574,0.8683,0.2639,1.309071366
Viscosity_std_505,p1000,1000,6.534098574,81.67623218,0.8683,0.7365,-15.17908557
Viscosity_std_505,p1000,500,6.534098574,81.67623218,0.8683,0.4195,-3.374409766
Viscosity_std_505,p1000,300,6.534098574,81.67623218,0.8683,0.2476,-4.94836654
Viscosity_std_505,p1000,1000,6.534098574,6.534098574,0.8683,0.8948,3.051940574
Viscosity_std_505,p1000,500,6.534098574,6.534098574,0.8683,0.4585,5.608660601
Viscosity_std_505,p1000,300,6.534098574,6.534098574,0.8683,0.2834,8.794963338
Viscosity_std_505,p1000,1000,70,15,0.8683,0.8158,-6.046297363
Viscosity_std_505,p1000,500,70,15,0.8683,0.4266,-1.739030289
Viscosity_std_505,p1000,300,70,15,0.8683,0.2561,-1.685285424
Viscosity_std_505,p1000,1000,65,25,0.8683,0.8017,-7.670160083
Viscosity_std_505,p1000,500,65,25,0.8683,0.4203,-3.190141656
Viscosity_std_505,p1000,300,65,25,0.8683,0.2514,-3.489577335
Viscosity_std_505,p1000,1000,75,15,0.8683,0.8248,-5.009789243
Viscosity_std_505,p1000,500,75,15,0.8683,0.4223,-2.729471381
Viscosity_std_505,p1000,300,75,15,0.8683,0.2566,-1.493339476
Viscosity_std_505,p1000,1000,70,12,0.8683,0.8405,-3.201658413
Viscosity_std_505,p1000,500,70,12,0.8683,0.4284,-1.324427041
Viscosity_std_505,p1000,300,70,12,0.8683,0.2564,-1.570117855
Viscosity_std_505,p1000,1000,50,10,0.8683,0.8727,0.506737303
Viscosity_std_505,p1000,500,50,10,0.8683,0.4323,-0.426120005
Viscosity_std_505,p1000,300,50,10,0.8683,0.2581,-0.917501632
