liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,iteration,liquid_level,density,time,m,%error,time_asp_1000,acq_value
Viscosity_std_817,rLine1000,1000,43.77356102395741,43.77356102395741,10,10,1,42.28006809117712,0.8466,104.1833131313324,0.7280471770047241,-14.00340455885612,65.6896800994873,
Viscosity_std_817,rLine1000,500,43.77356102395741,43.77356102395741,10,10,1,41.34032745051137,0.8466,81.38340353965759,0.39779221319381497,-6.025935933424295,65.6896800994873,
Viscosity_std_817,rLine1000,300,43.77356102395741,43.77356102395741,10,10,1,40.77596672510056,0.8466,72.32207322120667,0.23889389506639555,-5.9398790981984755,65.6896800994873,
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",43.77356102395741,43.77356102395741,10,10,1,40.77596672510056,0.8466,NaN,NaN,-8.65640653015963,65.6896800994873,
Viscosity_std_817,rLine1000,1000,54.71695127994677,54.71695127994677,10,10,2,39.21482688863633,0.8466,95.14215207099915,0.6608304927753076,-21.943008176788616,56.55174407958984,
Viscosity_std_817,rLine1000,500,54.71695127994677,54.71695127994677,10,10,2,38.29408759718843,0.8466,76.95850491523743,0.38974894206989613,-7.926070855209987,56.55174407958984,
Viscosity_std_817,rLine1000,300,54.71695127994677,54.71695127994677,10,10,2,37.734442786348,0.8466,69.7807285785675,0.23689764842875619,-6.725864859927497,56.55174407958984,
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",54.71695127994677,54.71695127994677,10,10,2,37.734442786348,0.8466,NaN,NaN,-12.198314630642033,56.55174407958984,
Viscosity_std_817,rLine1000,1000,54.71695127994677,4.3773561023957415,10,10,3,35.781847617808644,0.8466,305.48708963394165,0.8265335348427092,-2.3702415730322257,266.7242725372314,
Viscosity_std_817,rLine1000,500,54.71695127994677,4.3773561023957415,10,10,3,34.855566266172204,0.8466,182.35336685180664,0.39209489614770576,-7.371864836355835,266.7242725372314,
Viscosity_std_817,rLine1000,300,54.71695127994677,4.3773561023957415,10,10,3,34.29237591372046,0.8466,133.09171652793884,0.23839847619282076,-6.134941258043658,266.7242725372314,
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",54.71695127994677,4.3773561023957415,10,10,3,34.29237591372046,0.8466,NaN,NaN,-5.292349222477239,266.7242725372314,
Viscosity_std_817,rLine1000,1000,4.3773561023957415,54.71695127994677,10,10,4,32.73426527785618,0.8466,305.64524960517883,0.6595482321613496,-22.094468206786015,266.7242725372314,
Viscosity_std_817,rLine1000,500,4.3773561023957415,54.71695127994677,10,10,4,31.78443877610196,0.8466,182.60315537452698,0.40206155819256184,-5.01734982457788,266.7242725372314,
Viscosity_std_817,rLine1000,300,4.3773561023957415,54.71695127994677,10,10,4,31.218632295859358,0.8466,133.10924816131592,0.23950588308669368,-5.698919959566248,266.7242725372314,
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",4.3773561023957415,54.71695127994677,10,10,4,31.218632295859358,0.8466,NaN,NaN,-10.936912663643382,266.7242725372314,
Viscosity_std_817,rLine1000,1000,4.3773561023957415,4.3773561023957415,10,10,5,29.234058407350094,0.8466,516.1612195968628,0.8400701270059713,-0.7713055745368226,476.896800994873,
Viscosity_std_817,rLine1000,500,4.3773561023957415,4.3773561023957415,10,10,5,28.26581574285755,0.8466,287.72342681884766,0.40985711987969337,-3.1757335507457225,476.896800994873,
Viscosity_std_817,rLine1000,300,4.3773561023957415,4.3773561023957415,10,10,5,27.66803054264504,0.8466,196.40035557746887,0.25304247524995577,-0.36913329791490346,476.896800994873,
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",4.3773561023957415,4.3773561023957415,10,10,5,27.66803054264504,0.8466,NaN,NaN,-1.4387241410658163,476.896800994873,
Viscosity_std_817,rLine1000,1000,30.626424311406815,12.462086324301175,10,10,6,25.82620773240834,0.8466,172.34663677215576,0.7796435955731965,-7.908859488164836,132.89492839868086,90.75279152637334
Viscosity_std_817,rLine1000,500,30.626424311406815,12.462086324301175,10,10,6,24.85741430417035,0.8466,116.03550505638123,0.4100902581731403,-3.120657176201202,132.89492839868086,90.75279152637334
Viscosity_std_817,rLine1000,300,30.626424311406815,12.462086324301175,10,10,6,24.2896457280846,0.8466,93.44990658760071,0.2403364382570983,-5.3719039857082205,132.89492839868086,90.75279152637334
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",30.626424311406815,12.462086324301175,10,10,6,24.2896457280846,0.8466,NaN,NaN,-5.467140216691419,132.89492839868086,90.75279152637334
Viscosity_std_817,rLine1000,1000,10.285427942403304,18.698021377626873,10,10,7,22.475464373322424,0.8466,210.33871793746948,0.767942967470829,-9.290932261891212,170.70652350647805,49.22201175616611
Viscosity_std_817,rLine1000,500,10.285427942403304,18.698021377626873,10,10,7,21.495793361111897,0.8466,135.10781931877136,0.414694739468717,-2.0328987789470876,170.70652350647805,49.22201175616611
Viscosity_std_817,rLine1000,300,10.285427942403304,18.698021377626873,10,10,7,20.93484048637603,0.8466,105.0308952331543,0.2374513518756926,-6.507854210688807,170.70652350647805,49.22201175616611
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",10.285427942403304,18.698021377626873,10,10,7,20.93484048637603,0.8466,NaN,NaN,-5.943895083842368,170.70652350647805,49.22201175616611
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,8,18.99594556600462,0.8466,290.6820316314697,0.820734219793217,-3.055253981429599,250.65539697789555,37.602441442542165
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,8,18.0077032930056,0.8466,175.50967049598694,0.41832295416048476,-1.1757727000980978,250.65539697789555,37.602441442542165
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,8,17.444581786022045,0.8466,129.39778470993042,0.2383693339061399,-6.146415502740428,250.65539697789555,37.602441442542165
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",13.285177438643991,6.435688178965451,10,10,8,17.444581786022045,0.8466,NaN,NaN,-3.4591473947560414,250.65539697789555,37.602441442542165
Viscosity_std_817,rLine1000,1000,51.12029401784851,26.34934822445117,10,10,9,15.747609840837411,0.8466,117.87355399131775,0.7183282243966553,-15.15140274076833,77.51330570835465,15.41381345700724
Viscosity_std_817,rLine1000,500,51.12029401784851,26.34934822445117,10,10,9,14.791724937883293,0.8466,88.95485615730286,0.40462607942047796,-4.411509704588248,77.51330570835465,15.41381345700724
Viscosity_std_817,rLine1000,300,51.12029401784851,26.34934822445117,10,10,9,14.22911977191109,0.8466,77.46870875358582,0.23815076675603344,-6.232472337966216,77.51330570835465,15.41381345700724
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",51.12029401784851,26.34934822445117,10,10,9,14.22911977191109,0.8466,NaN,NaN,-8.598461594440932,77.51330570835465,15.41381345700724
Viscosity_std_817,rLine1000,1000,20.951042705667653,5.36564954744599,10,10,10,12.2353894361338,0.8466,294.6267750263214,0.8439460511345265,-0.3134832111355473,254.10104700247308,4.150780311066199
Viscosity_std_817,rLine1000,500,20.951042705667653,5.36564954744599,10,10,10,11.262121052464071,0.8466,177.7589774131775,0.4119845068073965,-2.673161633027049,254.10104700247308,4.150780311066199
Viscosity_std_817,rLine1000,300,20.951042705667653,5.36564954744599,10,10,10,10.711288461550758,0.8466,130.6422073841095,0.2331674357336054,-8.194568181114512,254.10104700247308,4.150780311066199
Viscosity_std_817,rLine1000,"mean[1000, 500, 300]",20.951042705667653,5.36564954744599,10,10,10,10.711288461550758,0.8466,NaN,NaN,-3.727071008425703,254.10104700247308,4.150780311066199
