liquid,pipette,volume,aspiration_rate,dispense_rate,%error,time_asp_1000,acq_value
Viscosity_std_505,p1000,1000,65.34098574,65.34098574,-13.33640447,40.60865974,
Viscosity_std_505,p1000,500,65.34098574,65.34098574,-7.935045491,40.60865974,
Viscosity_std_505,p1000,300,65.34098574,65.34098574,-13.50915582,40.60865974,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",65.34098574,65.34098574,-11.59353526,40.60865974,
Viscosity_std_505,p1000,1000,81.67623218,81.67623218,-17.48243695,34.4869278,
Viscosity_std_505,p1000,500,81.67623218,81.67623218,-11.94287689,34.4869278,
Viscosity_std_505,p1000,300,81.67623218,81.67623218,-11.66647472,34.4869278,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",81.67623218,81.67623218,-13.69726285,34.4869278,
Viscosity_std_505,p1000,1000,81.67623218,6.534098574,-2.890705977,175.2867626,
Viscosity_std_505,p1000,500,81.67623218,6.534098574,-2.222734078,175.2867626,
Viscosity_std_505,p1000,300,81.67623218,6.534098574,1.309071366,175.2867626,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",81.67623218,6.534098574,-2.14083714,175.2867626,
Viscosity_std_505,p1000,1000,6.534098574,81.67623218,-15.17908557,175.2867626,
Viscosity_std_505,p1000,500,6.534098574,81.67623218,-3.374409766,175.2867626,
Viscosity_std_505,p1000,300,6.534098574,81.67623218,-4.94836654,175.2867626,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",6.534098574,81.67623218,-7.833953959,175.2867626,
Viscosity_std_505,p1000,1000,6.534098574,6.534098574,3.051940574,316.0865974,
Viscosity_std_505,p1000,500,6.534098574,6.534098574,5.608660601,316.0865974,
Viscosity_std_505,p1000,300,6.534098574,6.534098574,8.794963338,316.0865974,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",6.534098574,6.534098574,-5.818521504,316.0865974,
Viscosity_std_505,p1000,1000,57.66445036,11.5997428,-0.88679,113.5505149,80.628771
Viscosity_std_505,p1000,500,57.66445036,11.5997428,-2.268801,113.5505149,80.628771
Viscosity_std_505,p1000,300,57.66445036,11.5997428,-2.798572,113.5505149,80.628771
Viscosity_std_505,p1000,"mean[300, 500, 1000]",57.66445036,11.5997428,-1.984721,113.5505149,80.628771
Viscosity_std_505,p1000,1000,77.66125513,22.84890797,-8.165381,66.64220144,71.40139
Viscosity_std_505,p1000,500,77.66125513,22.84890797,-6.023264,66.64220144,71.40139
Viscosity_std_505,p1000,300,77.66125513,22.84890797,-3.604745,66.64220144,71.40139
Viscosity_std_505,p1000,"mean[300, 500, 1000]",77.66125513,22.84890797,-5.93113,66.64220144,71.40139
Viscosity_std_505,p1000,1000,41.42137795,6.981681141,0.264885,177.374101,70.9074
Viscosity_std_505,p1000,500,41.42137795,6.981681141,0.909824,177.374101,70.9074
Viscosity_std_505,p1000,300,41.42137795,6.981681141,1.923298,177.374101,70.9074
Viscosity_std_505,p1000,"mean[300, 500, 1000]",41.42137795,6.981681141,-1.032669,177.374101,70.9074
Viscosity_std_505,p1000,1000,36.80387131,20.00909769,-4.053898,87.14832081,45.430322
Viscosity_std_505,p1000,500,36.80387131,20.00909769,-0.449154,87.14832081,45.430322
Viscosity_std_505,p1000,300,36.80387131,20.00909769,-0.072939,87.14832081,45.430322
Viscosity_std_505,p1000,"mean[300, 500, 1000]",36.80387131,20.00909769,-1.525330333,87.14832081,45.430322
Viscosity_std_505,p1000,1000,19.97029977,33.89941646,-6.990671,89.57339386,19.619613
Viscosity_std_505,p1000,500,19.97029977,33.89941646,-0.863757,89.57339386,19.619613
Viscosity_std_505,p1000,300,19.97029977,33.89941646,-3.988637,89.57339386,19.619613
Viscosity_std_505,p1000,"mean[300, 500, 1000]",19.97029977,33.89941646,-3.947688333,89.57339386,19.619613
