liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error,time_asp_1000,acq_value
Viscosity_std_204,rLine1000,1000,127.1307751,127.1307751,0.8639,0.758602865,-12.18857917,35.73183203,None
Viscosity_std_204,rLine1000,500,127.1307751,127.1307751,0.8639,0.402935827,-6.717021231,35.73183203,None
Viscosity_std_204,rLine1000,300,127.1307751,127.1307751,0.8639,0.238252765,-8.07085513,35.73183203,None
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",127.1307751,127.1307751,0.8639,0.758602865,-8.992151842,35.73183203,None
Viscosity_std_204,rLine1000,1000,158.9134688,158.9134688,0.8639,0.682424927,-21.00649066,32.58546564,None
Viscosity_std_204,rLine1000,500,158.9134688,158.9134688,0.8639,0.394673989,-8.62970517,32.58546564,None
Viscosity_std_204,rLine1000,300,158.9134688,158.9134688,0.8639,0.222603357,-14.10913423,32.58546564,None
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",158.9134688,158.9134688,0.8639,0.682424927,-14.58177669,32.58546564,None
Viscosity_std_204,rLine1000,1000,158.9134688,12.7130775,0.8639,0.84444147,-2.25240537,104.951893,None
Viscosity_std_204,rLine1000,500,158.9134688,12.7130775,0.8639,0.422155165,-2.267585401,104.951893,None
Viscosity_std_204,rLine1000,300,158.9134688,12.7130775,0.8639,0.254237309,-1.903264651,104.951893,None
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",158.9134688,12.7130775,0.8639,0.84444147,-2.141085141,104.951893,None
Viscosity_std_204,rLine1000,1000,12.7130775,158.9134688,0.8639,0.683342909,-20.90023044,104.951893,None
Viscosity_std_204,rLine1000,500,12.7130775,158.9134688,0.8639,0.375512935,-13.06564764,104.951893,None
Viscosity_std_204,rLine1000,300,12.7130775,158.9134688,0.8639,0.208819055,-19.42776741,104.951893,None
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",12.7130775,158.9134688,0.8639,0.683342909,-17.79788183,104.951893,None
Viscosity_std_204,rLine1000,1000,12.7130775,12.7130775,0.8639,0.843902338,-2.314812165,177.3183204,None
Viscosity_std_204,rLine1000,500,12.7130775,12.7130775,0.8639,0.42859561,-0.776568997,177.3183204,None
Viscosity_std_204,rLine1000,300,12.7130775,12.7130775,0.8639,0.250215673,-3.45500118,177.3183204,None
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",12.7130775,12.7130775,0.8639,0.843902338,-2.182127448,177.3183204,None
Viscosity_std_204,rLine1000,1000,135.9262169,54.6849539,0.8639,0.818023987,-5.310338334,45.64349814,91.23410921
Viscosity_std_204,rLine1000,500,135.9262169,54.6849539,0.8639,0.418789231,-3.046827006,45.64349814,91.23410921
Viscosity_std_204,rLine1000,300,135.9262169,54.6849539,0.8639,0.245305198,-5.349693971,45.64349814,91.23410921
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",135.9262169,54.6849539,0.8639,0.818023987,-4.568953104,45.64349814,91.23410921
Viscosity_std_204,rLine1000,1000,94.19634482,20.4703597,0.8639,0.846437717,-2.021331561,79.46724328,91.57034519
Viscosity_std_204,rLine1000,500,94.19634482,20.4703597,0.8639,0.421980311,-2.308065485,79.46724328,91.57034519
Viscosity_std_204,rLine1000,300,94.19634482,20.4703597,0.8639,0.250419669,-3.376289907,79.46724328,91.57034519
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",94.19634482,20.4703597,0.8639,0.846437717,-2.568562317,79.46724328,91.57034519
Viscosity_std_204,rLine1000,1000,75.075076,48.15642814,0.8639,0.829083485,-4.030155698,54.08565956,35.38907176
Viscosity_std_204,rLine1000,500,75.075076,48.15642814,0.8639,0.409667695,-5.158538021,54.08565956,35.38907176
Viscosity_std_204,rLine1000,300,75.075076,48.15642814,0.8639,0.233254863,-9.999281324,54.08565956,35.38907176
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",75.075076,48.15642814,0.8639,0.829083485,-6.395991681,54.08565956,35.38907176
Viscosity_std_204,rLine1000,1000,132.8028675,22.03496619,0.8639,0.85029907,-1.574363974,72.91237379,31.94113126
Viscosity_std_204,rLine1000,500,132.8028675,22.03496619,0.8639,0.416559846,-3.562948069,72.91237379,31.94113126
Viscosity_std_204,rLine1000,300,132.8028675,22.03496619,0.8639,0.258987502,-0.070416432,72.91237379,31.94113126
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",132.8028675,22.03496619,0.8639,0.85029907,-1.735909492,72.91237379,31.94113126
Viscosity_std_204,rLine1000,1000,102.939013,15.37946876,0.8639,0.846743711,-1.985911488,94.73624163,27.88580108
Viscosity_std_204,rLine1000,500,102.939013,15.37946876,0.8639,0.427852482,-0.948609352,94.73624163,27.88580108
Viscosity_std_204,rLine1000,300,102.939013,15.37946876,0.8639,0.253654463,-2.128154003,94.73624163,27.88580108
Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",102.939013,15.37946876,0.8639,0.846743711,-1.687558281,94.73624163,27.88580108
