Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_sigmoid,Flow_rate
2023-10-18 08:57:56.566246,390813,6.862879436681862,390902.3181818182,0.0,0.0,0.07525755351651853,10.01384973526001,-2.0546672091735445,
2023-10-18 08:57:56.766297,390808,6.862879436681862,390902.3181818182,-0.7285571670216395,-0.025619592686474846,-0.025619592686474846,10.213901042938232,-2.054713632744779,-0.00023205832430233774
2023-10-18 08:57:56.966588,390811,6.862879436681862,390902.3181818182,-0.2914228668086558,0.048036736287141224,0.07365632897361607,10.414191961288452,-2.054772664322627,-0.00029472917860871465
2023-10-18 08:57:57.165848,390808,6.862879436681862,390902.3181818182,-0.7285571670216395,0.09607347257427534,0.04803673628713412,10.613451957702637,-2.0548472148783503,-0.0003741370925672455
2023-10-18 08:57:57.366446,390834,6.862879436681862,390902.3181818182,3.0599401014908842,0.11208571800332123,0.01601224542904589,10.81404995918274,-2.0549425096361347,-0.0004750533758124762
2023-10-18 08:57:57.566531,390863,6.862879436681862,390902.3181818182,7.285571670216392,0.025619592686471293,-0.08646612531684994,11.014135122299194,-2.0550632531411566,-0.0006034605621987867
2023-10-18 08:57:57.766538,390841,6.862879436681862,390902.3181818182,4.07992013532118,-0.14571143340432968,-0.17133102609080098,11.214141845703125,-2.0552165209845725,-0.0007663134559052955
2023-10-18 08:57:57.966167,390802,6.862879436681862,390902.3181818182,-1.602825767447607,-0.4851710365001267,-0.33945960309579704,11.413770914077759,-2.0554107286335466,-0.0009728425351842212
2023-10-18 08:57:58.165495,390809,6.862879436681862,390902.3181818182,-0.5828457336173116,-0.8630600286256431,-0.3778889921255164,11.613099098205566,-2.0556568062244196,-0.0012345348549166807
2023-10-18 08:57:58.365677,390836,6.862879436681862,390902.3181818182,3.35136296829954,-1.4699241303865165,-0.6068641017608734,11.813281059265137,-2.0559705276813247,-0.0015671814545355383
2023-10-18 08:57:58.566490,390805,6.862879436681862,390902.3181818182,-1.1656914672346232,-2.259327830038533,-0.7894036996520164,12.014094114303589,-2.05637038934492,-0.0019912134871850626
