Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_sigmoid
2023-09-18 15:21:50.637589,384366,6.862879436681862,385797.3146067416,0.0,0.0,-0.043233062658345034,10.005148887634277,-9.163660906004907
2023-09-18 15:21:50.832476,384327,6.862879436681862,385797.3146067416,-5.682745902768772,0.041631838115506525,0.041631838115506525,10.200035810470581,-9.164993311837293
2023-09-18 15:21:51.032463,384258,6.862879436681862,385797.3146067416,-15.736834807667407,0.011208571800267464,-0.03042326631523906,10.400022983551025,-9.166606059743003
2023-09-18 15:21:51.231917,384265,6.862879436681862,385797.3146067416,-14.716854773837099,-0.06244775717328821,-0.07365632897355567,10.599477052688599,-9.168506777261086
2023-09-18 15:21:51.446712,384269,6.862879436681862,385797.3146067416,-14.134009040219809,-0.16012245429047312,-0.0976746971171849,10.814271926879883,-9.17094110255664
2023-09-18 15:21:51.646916,384264,6.862879436681862,385797.3146067416,-14.862566207241429,-0.3010302140660883,-0.1409077597756152,11.01447606086731,-9.173639372059938
2023-09-18 15:21:51.846777,384274,6.862879436681862,385797.3146067416,-13.40545187319816,-0.5700359372741275,-0.26900572320803917,11.21433711051941,-9.176823275860784
2023-09-18 15:21:52.046675,384280,6.862879436681862,385797.3146067416,-12.531183272772182,-0.925507785798942,-0.3554718485248145,11.41423487663269,-9.180586873765606
2023-09-18 15:21:52.247489,384248,6.862879436681862,385797.3146067416,-17.193949141710675,-1.3130041251818625,-0.3874963393829205,11.615048885345459,-9.185057079383455
2023-09-18 15:21:52.447497,384247,6.862879436681862,385797.3146067416,-17.339660575115005,-1.8814388379130094,-0.5684347127311469,11.815056800842285,-9.190321213535526
2023-09-18 15:21:52.647934,384281,6.862879436681862,385797.3146067416,-12.385471839367852,-2.499511511474168,-0.6180726735611586,12.015493869781494,-9.196557673150323
2023-09-18 15:21:52.848406,384273,6.862879436681862,385797.3146067416,-13.55116330660249,-3.1400013286362025,-0.6404898171620346,12.215965986251831,-9.203932844405017
2023-09-18 15:21:53.048674,384308,6.862879436681862,385797.3146067416,-8.451263137451008,-3.921398905573625,-0.7813975769374224,12.416234016418457,-9.212643495453335
2023-09-18 15:21:53.249234,384264,6.862879436681862,385797.3146067416,-14.862566207241429,-4.74923199425541,-0.8278330886817855,12.616793870925903,-9.22295723104719
2023-09-18 15:21:53.449246,384242,6.862879436681862,385797.3146067416,-18.068217742136653,-5.653923860996542,-0.9046918667411319,12.816805839538574,-9.235116370294918
2023-09-18 15:21:53.648743,384288,6.862879436681862,385797.3146067416,-11.365491805537573,-6.752363897429149,-1.0984400364326063,13.016302824020386,-9.24944671491562
2023-09-18 15:21:53.849224,384304,6.862879436681862,385797.3146067416,-9.034108871068327,-7.972496999122541,-1.220133101693392,13.21678376197815,-9.266466306519646
2023-09-18 15:21:54.048395,384256,6.862879436681862,385797.3146067416,-16.028257674476066,-9.357556228735092,-1.3850592296125512,13.415954828262329,-9.286445371856871
2023-09-18 15:21:54.248622,384290,6.862879436681862,385797.3146067416,-11.074068938728914,-10.886725667209106,-1.529169438474014,13.616182088851929,-9.310175304177733
2023-09-18 15:21:54.451610,384261,6.862879436681862,385797.3146067416,-15.299700507454418,-12.4911526591996,-1.6044269919904934,13.819169998168945,-9.338642936133624
2023-09-18 15:21:54.649395,384295,6.862879436681862,385797.3146067416,-10.345511771707265,-14.231683737336994,-1.7405310781373942,14.016954898834229,-9.371428216317668
2023-09-18 15:21:54.849050,384266,6.862879436681862,385797.3146067416,-14.57114334043277,-16.125932371593308,-1.8942486342563143,14.216609954833984,-9.410492387144245
2023-09-18 15:21:55.049206,384311,6.862879436681862,385797.3146067416,-8.014128837238019,-18.194714481026125,-2.068782109432817,14.416765928268433,-9.456759678989897
2023-09-18 15:21:55.249383,384301,6.862879436681862,385797.3146067416,-9.471243171281316,-20.31633700037486,-2.1216225193487332,14.616942882537842,-9.51143428541286
2023-09-18 15:21:55.449419,384308,6.862879436681862,385797.3146067416,-8.451263137451008,-22.686149323873792,-2.369812323498934,14.816978931427002,-9.575982480858443
2023-09-18 15:21:55.647832,384265,6.862879436681862,385797.3146067416,-14.716854773837099,-25.123213078174814,-2.437063754301022,15.015392065048218,-9.651557446702668
2023-09-18 15:21:55.848344,384316,6.862879436681862,385797.3146067416,-7.285571670216399,-27.69638091862265,-2.5731678404478373,15.215903997421265,-9.741720717417707
2023-09-18 15:21:56.053997,384287,6.862879436681862,385797.3146067416,-11.511203238941903,-30.373628354359283,-2.677247435736632,15.421556949615479,-9.851208011331323
2023-09-18 15:21:56.249354,384277,6.862879436681862,385797.3146067416,-12.968317572985171,-33.284654573360086,-2.911026219000803,15.616913795471191,-9.974040164250596
2023-09-18 15:21:56.449514,384268,6.862879436681862,385797.3146067416,-14.27972047362411,-36.27734324404901,-2.9926886706889206,15.817073822021484,-10.122329884464534
2023-09-18 15:21:56.648897,384304,6.862879436681862,385797.3146067416,-9.034108871068327,-39.39492742908436,-3.117584185035355,16.016456842422485,-10.296616735481848
2023-09-18 15:21:56.849395,384324,6.862879436681862,385797.3146067416,-6.119880202981761,-42.70625978381133,-3.3113323547269715,16.216954946517944,-10.503380652062447
2023-09-18 15:21:57.049019,384287,6.862879436681862,385797.3146067416,-11.511203238941903,-46.04961662939644,-3.343356845585106,16.416578769683838,-10.746182070619739
2023-09-18 15:21:57.248568,384245,6.862879436681862,385797.3146067416,-17.631083441923664,-49.505059192984675,-3.4554425635882353,16.616127967834473,-11.032220530713175
