liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error
Viscosity_std_204,p1000,1000,95.38141797,95.38141797,0.8639,0.8148,-5.683528186
Viscosity_std_204,p1000,500,95.38141797,95.38141797,0.8639,0.4102,-5.035305012
Viscosity_std_204,p1000,300,95.38141797,95.38141797,0.8639,0.2502,-3.461048732
Viscosity_std_204,p1000,1000,119.2267725,119.2267725,0.8639,0.7681,-11.08924644
Viscosity_std_204,p1000,500,119.2267725,119.2267725,0.8639,0.3902,-9.665470541
Viscosity_std_204,p1000,300,119.2267725,119.2267725,0.8639,0.2451,-5.428869082
Viscosity_std_204,p1000,1000,119.2267725,9.538141797,0.8639,0.8824,2.141451557
Viscosity_std_204,p1000,500,119.2267725,9.538141797,0.8639,0.4417,2.257205695
Viscosity_std_204,p1000,300,119.2267725,9.538141797,0.8639,0.2692,3.870046688
Viscosity_std_204,p1000,1000,9.538141797,119.2267725,0.8639,0.7651,-11.43650886
Viscosity_std_204,p1000,500,9.538141797,119.2267725,0.8639,0.3959,-8.345873365
Viscosity_std_204,p1000,300,9.538141797,119.2267725,0.8639,0.2517,-2.882278041
Viscosity_std_204,p1000,1000,9.538141797,9.538141797,0.8639,0.8803,1.898367867
Viscosity_std_204,p1000,500,9.538141797,9.538141797,0.8639,0.4544,5.197360806
Viscosity_std_204,p1000,300,9.538141797,9.538141797,0.8639,0.2691,3.831461975
Viscosity_std_204,p1000,1000,110,10,0.8639,0.8779,1.620557935
Viscosity_std_204,p1000,500,110,10,0.8639,0.442,2.326658178
Viscosity_std_204,p1000,300,110,10,0.8639,0.2694,3.947216113
Viscosity_std_204,p1000,1000,100,30,0.8639,0.8429,-2.430836902
Viscosity_std_204,p1000,500,100,30,0.8639,0.435,0.706100243
Viscosity_std_204,p1000,300,100,30,0.8639,0.2605,0.513176679
Viscosity_std_204,p1000,1000,95,45,0.8639,0.8359,-3.24111587
Viscosity_std_204,p1000,500,95,45,0.8639,0.4173,-3.39159625
Viscosity_std_204,p1000,300,95,45,0.8639,0.2688,3.715707837
Viscosity_std_204,p1000,1000,90,60,0.8639,0.8435,-2.361384419
Viscosity_std_204,p1000,500,90,60,0.8639,0.4109,-4.873249219
Viscosity_std_204,p1000,300,90,60,0.8639,0.2475,-4.502835976
Viscosity_std_204,p1000,1000,105,30,0.8639,0.8799,1.852066211
Viscosity_std_204,p1000,500,105,30,0.8639,0.4462,3.298992939
Viscosity_std_204,p1000,300,105,30,0.8639,0.2631,1.516379211
